"C_ID","C_Age","C_Education","C_Gender","C_MonthlyIncome","C_MonthlyFamilyIncome","C_HomeOwnershipStatus","C_RelationshipStatus","C_NumberofDependants","C_EmploymentType","C_FirmSize","C_Industry","C_FinancialLiteracy","C_FinancialInstitution","C_PersonalFinancialAdvice","C_TotalVoluntarySuperContribution","App_Tenure","App_AverageDailySessionTime","App_FrequencyOfDecline","App_ContributionTriggerAmount","App_NumberoftimeContributionTriggerAmountChanged","App_RoundUpWholeAmount","App_ShowTutorial"
"52fbd13d-ec13-4aee-aab4-d2925a944361",34,"H","M",7724,16993,"N","M",1,"P","S","FSS","L","BTS","N",621,28,33,"H",10,61,1,"N"
"42e7ae90-7246-49ea-b696-56f4089097f5",46,"M","M",19179,34522,"Y","M",5,"P","S","IMT","H","CSE","Y",6176,26,56,"L",10,63,1,"Y"
"53527fff-8c85-49f0-941b-170a23e7597c",44,"B","F",19608,35294,"Y","M",6,"C","S","FSS","H","FLY","Y",1127,22,22,"M",10,45,1,"N"
"89487ae8-ea2e-4b95-a65d-d6ab3310e1c3",55,"B","M",14683,14683,"Y","S",1,"C","M","IMT","M","CBU","N",2937,29,23,"L",10,83,1,"Y"
"cb53f3e5-c8f5-497c-a458-07f018ff8e2a",24,"P","M",4935,9870,"N","M",1,"P","P","AFF","L","FMC","N",795,24,16,"H",10,37,1,"N"
"0140a446-3da8-4114-a968-f9e9a7a5ad3d",39,"B","M",16130,16130,"N","S",1,"C","P","WHT","M","AMEX","Y",807,16,50,"H",10,9,1,"N"
"838a305a-4e1a-4bc4-b630-bca465880f90",45,"B","M",10798,26995,"Y","M",2,"C","M","IMT","M","WBC","Y",869,3,60,"M",10,60,1,"N"
"f6f43861-7911-430f-91c1-4abdd3a79305",51,"P","M",10381,10381,"Y","S",1,"C","S","THR","M","NAB","Y",2076,11,4,"L",10,64,1,"Y"
"d481afeb-56a4-4379-8e86-0525e209167e",56,"B","M",15382,15382,"Y","S",1,"C","M","IMT","M","CSE","Y",3076,21,16,"L",10,55,1,"Y"
"76d35109-1017-4985-9e33-10dc623645e9",57,"M","F",17429,43573,"Y","M",7,"P","P","IMT","H","RAMS","Y",4009,23,34,"L",10,89,1,"Y"
"69928a2b-fd1f-4ab7-ba3c-c8818b20ae50",30,"B","F",8282,14079,"N","S",6,"P","M","AFF","M","MEB","N",476,29,33,"H",10,36,1,"N"
