"C_ID","C_TotalVoluntarySuperContribution","C_Age","C_Education","C_Gender","C_MonthlyIncome","C_HomeOwnershipStatus","C_RelationshipStatus","C_NumberofDependants","C_EmploymentType","C_SalarySacrifice","C_FinancialLiteracy","C_PersonalFinancialAdvice","App_SatisfactionRating","App_Tenure","App_AverageDailySessionTime","App_ShowTutorial"
"9a662bdf-4762-4e40-b61e-3e594e0e29c2",1856,47,"B","M",10344,"Y","O",6,"P","Y","M","N","L",14,55,"N"
"8f57241c-089d-4fc8-8657-d1b97c2e5098",414,38,"D","M",6540,"N","O",0,"P","Y","L","N","L",20,23,"N"
"19898f22-1cb9-44f6-ad4f-9630eea4d482",885,52,"D","F",4424,"Y","S",1,"P","N","M","N","L",21,18,"N"
"9bc0bc53-d434-4941-b0e1-25f4c50ef4cd",2385,45,"B","F",13141,"Y","O",5,"P","N","H","N","H",3,19,"Y"
"5efb7764-b851-4abd-812d-ef3049285a6e",154,21,"B","F",3529,"N","S",3,"C","N","L","N","L",26,16,"N"
"cf964c6a-183e-49c2-a1de-857146090eb9",1881,45,"M","M",9406,"Y","S",1,"P","Y","M","Y","H",26,34,"Y"
"1089951a-a481-4cd7-9e46-14b40ea87f31",251,29,"D","F",4461,"Y","O",3,"C","N","L","N","L",29,25,"N"
"27295a24-fb46-4b90-8e3c-ebeff2f210db",1710,58,"M","M",8548,"Y","S",1,"P","N","M","N","L",22,32,"N"
"5b0454ac-1238-4def-b32f-4f19da67f4db",147,24,"H","M",4056,"N","S",1,"P","N","L","N","L",13,33,"N"
"6a44a1a2-bdf0-41ad-91e8-d3ff513e3150",2383,48,"H","M",11917,"Y","S",1,"C","Y","H","Y","H",7,23,"Y"
"560b0928-073c-4b51-a02c-6a9cdfd8878d",79,60,"D","F",16870,"Y","S",1,"C","N","L","N","L",16,40,"N"
"bb0a1711-fed0-46f0-a677-c206a113d185",2204,52,"P","M",11020,"Y","S",1,"P","Y","H","Y","H",7,33,"Y"
"3c179ad5-5a34-4bd6-870d-5a84c2712d81",2472,48,"H","M",12360,"Y","O",8,"P","N","H","Y","H",24,30,"Y"
"f95b5141-b481-4588-b689-e82e22dc684b",559,30,"P","M",2793,"N","O",4,"C","Y","M","N","H",3,58,"N"
"9868ed62-3f43-46d3-95af-0912c105707b",1653,60,"B","M",9796,"Y","O",3,"P","N","M","N","L",18,22,"N"
"b997e6f2-8c7f-4204-b44c-3a660a15b8c5",2444,58,"M","F",12221,"Y","S",1,"C","N","M","Y","H",13,40,"Y"
"2a317c41-a65a-4aae-a2a2-ae26a6c3e6d1",132,18,"B","M",3302,"N","S",1,"C","N","L","N","L",21,8,"N"
"33e6aaef-1ea9-4244-9278-95144dc6710c",3082,57,"B","M",15410,"Y","M",0,"P","Y","H","Y","H",14,59,"Y"
"50958251-b76b-4ae9-9eba-91e47f63e52c",161,24,"D","F",3847,"N","S",1,"P","N","L","N","L",4,30,"N"
"ac087c04-89fd-4564-afa4-f863623c850b",1958,41,"B","F",9789,"Y","M",2,"P","Y","H","Y","L",19,28,"Y"
"7f51d928-d4f1-44a0-acb5-a354c3a0f4c7",329,24,"B","M",5634,"N","M",8,"P","Y","L","N","L",17,9,"N"
"e633995f-d7c3-40d3-82f7-2d941aff5018",431,24,"H","M",4566,"Y","S",1,"C","N","M","N","H",7,5,"N"
"b6dd7ddb-1d72-4b90-9ad7-0106f4e09085",1764,48,"P","M",8822,"Y","S",1,"C","Y","H","Y","H",22,39,"Y"
"61761a97-c067-4f87-8d07-bc034506485a",406,37,"P","F",6363,"N","S",1,"P","N","L","N","L",24,60,"N"
"6f49e282-d743-4b72-b961-882e76d383c5",2271,58,"D","F",11354,"Y","M",8,"C","Y","H","Y","H",12,48,"Y"
"b29a4bb0-1906-400a-b1d2-4b0667ba8b63",668,33,"B","M",5070,"N","S",1,"P","Y","L","N","H",21,31,"N"
"b2898960-fc40-4b0c-b98d-f9f64d198266",2983,51,"B","F",14917,"Y","M",1,"P","Y","H","Y","L",2,5,"Y"
"cd067972-5497-4566-95ff-ae9ccaf39cdb",895,33,"P","F",6794,"N","S",1,"C","Y","L","N","L",14,50,"N"
"1a28a123-0d2f-4995-8a0b-7f324bcef4b2",164,24,"D","F",4431,"Y","S",6,"C","N","L","N","L",18,28,"N"
"bb19fca8-9ba0-49e9-a350-b7d946cdab60",2789,52,"B","M",13944,"Y","S",1,"P","N","M","Y","H",2,40,"Y"
"b0a51ba6-7af7-44ce-bf99-b8ecbe4e36ba",943,34,"B","M",7219,"N","O",2,"C","Y","L","Y","L",12,20,"N"
"94e2dca4-9625-4afb-8a19-e5abf8b186b6",589,26,"D","M",4169,"N","O",1,"P","N","L","N","L",6,51,"N"
"b470fc1d-fe6b-4dcc-a763-f1e6c0367754",2375,55,"H","M",11874,"Y","S",1,"C","Y","H","Y","L",30,43,"Y"
"edd32a4a-978c-4c43-9e79-3b0da67fda2b",2163,45,"B","M",10814,"N","O",4,"P","Y","M","Y","L",28,50,"Y"
"490936d6-96cd-4ccb-ab5c-7125944f6e90",2272,59,"P","M",11360,"Y","M",5,"C","Y","H","Y","H",12,3,"Y"
"f636cefd-149f-4027-8121-afec1ecc8a28",293,24,"H","F",3351,"Y","O",1,"C","Y","L","N","H",9,57,"N"
"11e18442-0312-4863-9de7-f188b2cca714",114,19,"H","F",4764,"Y","O",6,"C","N","L","N","L",6,57,"N"
"107fdcd3-bec2-425f-b014-d651d31579de",478,42,"D","M",5470,"Y","S",0,"C","N","L","Y","L",23,31,"N"
"acabeca4-401e-46fc-8885-a89ba8b6814f",662,27,"H","F",4124,"N","M",4,"C","N","L","N","H",23,18,"N"
"3556b312-5c4e-4979-b80e-413a78ad1652",142,22,"H","M",3800,"N","O",2,"C","Y","L","N","L",4,37,"N"
"c11e0ed1-7a3f-4bc1-8561-93a1c7c12544",3141,59,"M","M",15706,"Y","M",5,"C","Y","M","Y","H",15,3,"Y"
"ce25716f-697d-477b-827d-bc818892c806",39,29,"B","M",3026,"N","O",8,"C","N","L","N","L",17,9,"N"
"1609b5fb-bd42-4420-bba9-a92eb1ee9539",335,26,"B","F",5313,"Y","S",1,"C","N","L","Y","L",18,29,"N"
"b6221268-4d38-4c86-ae21-392f5fcac0bb",84,43,"B","M",16323,"Y","O",3,"C","N","L","Y","H",24,49,"N"
"ebd20c74-2a35-44ff-88e3-14d020855435",1637,59,"H","M",8185,"N","O",3,"P","Y","M","Y","L",3,52,"Y"
"930c5b19-d989-4d71-8b66-d29e89e61be1",1535,45,"P","M",8459,"Y","S",1,"P","Y","M","N","L",20,16,"N"
"4b6e7452-eb04-4465-9bc6-fccf31702029",390,38,"B","M",6161,"N","O",0,"C","N","L","N","L",7,34,"N"
"be2b5733-2224-4008-b647-e101171e4950",494,28,"P","M",3576,"N","S",1,"P","Y","L","N","L",9,37,"N"
"93a2e17c-6909-4eef-8bab-9db6a80f3a70",256,24,"B","F",3067,"N","M",5,"P","Y","L","N","L",25,36,"N"
"525cefa5-1565-4b8e-9e6c-654c9a57ffe7",338,25,"M","M",3381,"N","M",3,"P","N","M","N","L",12,6,"N"
"d70b9636-8b0e-4442-85fa-a86ee1fe9ff1",828,37,"P","M",6488,"N","O",0,"C","Y","L","N","L",30,39,"N"
"67f4cb79-28e4-477a-b2a1-fabf4fe9a3c1",366,31,"H","F",5464,"N","S",1,"C","N","L","N","L",4,17,"N"
"71f0d927-e016-4df8-8f4d-145aadeb3e8e",139,21,"D","F",3206,"N","S",5,"C","N","L","N","L",3,59,"N"
